CMDLINE python ./analytickit/crypto/txn_anz.py
MEM 125.933594 1694611793.4944
MEM 125.933594 1694611793.5952
MEM 125.933594 1694611793.6958
MEM 125.933594 1694611793.7977
MEM 125.933594 1694611793.8986
MEM 125.933594 1694611793.9996
MEM 125.933594 1694611794.1006
MEM 125.933594 1694611794.2015
MEM 125.933594 1694611794.3023
MEM 125.933594 1694611794.4033
MEM 125.933594 1694611794.5038
MEM 125.933594 1694611794.6055
MEM 125.933594 1694611794.7064
MEM 125.933594 1694611794.8072
MEM 125.933594 1694611794.9081
MEM 125.933594 1694611795.0096
MEM 125.933594 1694611795.1105
MEM 125.933594 1694611795.2114
MEM 125.933594 1694611795.3126
MEM 125.933594 1694611795.4138
MEM 125.933594 1694611795.5146
MEM 125.933594 1694611795.6154
MEM 125.933594 1694611795.7163
MEM 125.933594 1694611795.8175
MEM 125.933594 1694611795.9184
MEM 125.933594 1694611796.0189
MEM 125.933594 1694611796.1203
MEM 125.933594 1694611796.2214
MEM 125.933594 1694611796.3229
MEM 125.933594 1694611796.4250
MEM 125.933594 1694611796.5266
MEM 125.933594 1694611796.6276
MEM 125.933594 1694611796.7289
MEM 125.933594 1694611796.8307
MEM 125.933594 1694611796.9320
MEM 125.933594 1694611797.0334
MEM 125.933594 1694611797.1347
MEM 125.933594 1694611797.2357
MEM 125.933594 1694611797.3374
MEM 125.933594 1694611797.4385
MEM 125.933594 1694611797.5398
MEM 125.933594 1694611797.6409
MEM 125.933594 1694611797.7426
MEM 125.933594 1694611797.8433
MEM 125.933594 1694611797.9442
MEM 125.933594 1694611798.0454
MEM 125.933594 1694611798.1471
MEM 125.933594 1694611798.2480
MEM 125.933594 1694611798.3499
MEM 125.933594 1694611798.4513
MEM 125.933594 1694611798.5536
MEM 125.933594 1694611798.6544
MEM 125.933594 1694611798.7552
MEM 125.933594 1694611798.8563
MEM 125.933594 1694611798.9579
MEM 125.933594 1694611799.0593
MEM 125.933594 1694611799.1622
MEM 125.933594 1694611799.2637
MEM 125.933594 1694611799.3641
MEM 125.933594 1694611799.4664
MEM 125.933594 1694611799.5683
MEM 125.933594 1694611799.6699
MEM 125.933594 1694611799.7704
MEM 125.933594 1694611799.8713
MEM 125.933594 1694611799.9725
MEM 125.933594 1694611800.0730
MEM 125.933594 1694611800.1742
MEM 125.933594 1694611800.2747
MEM 125.933594 1694611800.3754
MEM 125.933594 1694611800.4766
MEM 125.933594 1694611800.5776
MEM 125.933594 1694611800.6784
MEM 125.933594 1694611800.7796
